y_pred,y_real,type,fecha,producto,modelo
614.195,116.0,train,2020-03-18,10,ALL
525.995,310.0,train,2020-03-19,10,ALL
852.17,601.0,train,2020-03-20,10,ALL
430.37,407.0,train,2020-03-21,10,ALL
2570.31,2506.0,train,2019-06-05,11,ALL
2416.84,2403.0,train,2019-06-11,11,ALL
3328.89,3391.0,train,2019-06-12,11,ALL
4355.93,4063.0,train,2019-06-13,11,ALL
3160.58,3120.0,train,2019-06-14,11,ALL
3827.075,3669.0,train,2019-06-15,11,ALL
1674.09,1498.0,train,2019-06-17,11,ALL
4624.475,4851.0,train,2019-06-18,11,ALL
3678.07,4134.0,train,2019-06-19,11,ALL
2956.515,3204.0,train,2019-06-20,11,ALL
4907.195,5491.0,train,2019-06-21,11,ALL
5655.685,6382.0,train,2019-06-22,11,ALL
4106.505,4373.0,train,2019-06-25,11,ALL
2147.38,1776.0,train,2019-07-03,11,ALL
4174.745,5161.0,train,2019-07-10,11,ALL
1883.52,2099.0,train,2019-07-11,11,ALL
3950.35,3986.0,train,2019-07-12,11,ALL
3217.595,3010.0,train,2019-07-15,11,ALL
1489.155,1486.0,train,2019-07-16,11,ALL
5016.92,6111.0,train,2019-07-18,11,ALL
3771.455,4186.0,train,2019-07-19,11,ALL
7357.7,7519.0,train,2019-07-20,11,ALL
4727.65,5349.0,train,2019-07-22,11,ALL
2416.24,3062.0,train,2019-07-23,11,ALL
2767.61,2177.0,train,2019-07-24,11,ALL
2881.43,2519.0,train,2019-07-25,11,ALL
2223.475,1731.0,train,2019-07-26,11,ALL
2665.685,2332.0,train,2019-07-29,11,ALL
3302.71,3624.0,train,2019-07-30,11,ALL
3352.275,4018.0,train,2019-07-31,11,ALL
6519.78,7345.0,train,2019-08-01,11,ALL
6015.735,5762.0,train,2019-08-03,11,ALL
3016.96,3404.0,train,2019-08-07,11,ALL
6530.58,7338.0,train,2019-08-13,11,ALL
5570.405,6259.0,train,2019-08-16,11,ALL
4239.57,4709.0,train,2019-08-17,11,ALL
608.275,471.0,train,2019-08-19,11,ALL
4372.33,3275.0,train,2019-08-20,11,ALL
3334.415,3585.0,train,2019-08-21,11,ALL
4912.73,3314.0,train,2019-08-22,11,ALL
4308.135,3934.0,train,2019-08-23,11,ALL
29027.515,31111.0,train,2019-09-10,11,ALL
18366.7,11111.0,train,2019-09-14,11,ALL
1255.515,1350.0,train,2019-09-18,11,ALL
5475.825,5129.0,train,2019-09-20,11,ALL
6431.395,4205.0,train,2019-09-21,11,ALL
3740.915,3482.0,train,2019-09-23,11,ALL
2231.49,2306.0,train,2019-09-25,11,ALL
4757.755,4806.0,train,2019-09-26,11,ALL
6459.68,7280.0,train,2019-09-27,11,ALL
6290.56,5969.0,train,2019-09-28,11,ALL
1856.23,1886.0,train,2019-09-30,11,ALL
1777.56,685.0,train,2019-10-01,11,ALL
4100.28,4670.0,train,2019-10-02,11,ALL
4970.175,5084.0,train,2019-10-03,11,ALL
6395.1,7119.0,train,2019-10-05,11,ALL
3443.12,3915.0,train,2019-10-07,11,ALL
2405.74,3682.0,train,2019-10-08,11,ALL
5299.245,4845.0,train,2019-10-09,11,ALL
5984.715,6692.0,train,2019-10-10,11,ALL
2169.22,2138.0,train,2019-10-14,11,ALL
1358.145,1175.0,train,2019-10-15,11,ALL
4701.08,4321.0,train,2019-10-16,11,ALL
5197.4,6156.0,train,2019-10-17,11,ALL
7570.33,7280.0,train,2019-10-18,11,ALL
6112.63,5833.0,train,2019-10-19,11,ALL
2567.36,2216.0,train,2019-10-21,11,ALL
2287.205,1750.0,train,2019-10-23,11,ALL
4637.675,3675.0,train,2019-10-25,11,ALL
2916.12,2228.0,train,2019-10-26,11,ALL
4014.67,4909.0,train,2019-10-28,11,ALL
1077.415,529.0,train,2019-10-30,11,ALL
