fecha,y_pred,y_real,type,producto,modelo,stockmin,stockmean,stockmax,udsventa,udsstock,precio
2019-08-03,37.17,35.0,ALL,88,ALL,27.0,35.5,44.0,0.0,44,3.78
2019-08-07,24.095,3.0,ALL,88,ALL,2.0,3.0,4.0,301.0,4,3.78
2019-08-13,38.73,27.0,ALL,88,ALL,21.0,27.5,34.0,184.0,34,3.78
2019-08-16,47.49,45.0,ALL,88,ALL,34.0,45.0,56.0,324.0,56,3.78
2019-08-17,71.565,79.0,ALL,88,ALL,60.0,79.0,98.0,0.0,98,3.78
2019-08-19,86.06,79.0,ALL,88,ALL,60.0,79.0,98.0,194.0,98,3.78
2019-08-20,53.23,56.0,ALL,88,ALL,43.0,56.5,70.0,237.0,70,3.78
2019-08-21,77.335,95.0,ALL,88,ALL,73.0,95.5,118.0,242.0,118,3.78
2019-08-22,76.705,87.0,ALL,88,ALL,66.0,87.0,108.0,158.0,108,3.78
2019-08-23,307.735,387.0,ALL,88,ALL,295.0,387.5,480.0,273.0,480,3.78
2019-09-10,95.55,95.0,ALL,88,ALL,73.0,95.5,118.0,125.0,118,3.78
2019-09-14,71.555,69.0,ALL,88,ALL,53.0,69.5,86.0,0.0,86,3.78
2019-09-18,192.055,142.0,ALL,88,ALL,108.0,142.0,176.0,177.0,176,3.78
2019-09-20,42.66,42.0,ALL,88,ALL,32.0,42.0,52.0,504.0,52,3.78
2019-09-21,38.93,39.0,ALL,88,ALL,30.0,39.0,48.0,0.0,48,3.78
2019-09-23,40.655,39.0,ALL,88,ALL,30.0,39.0,48.0,327.0,48,3.78
2019-09-24,76.895,74.0,ALL,88,ALL,57.0,74.5,92.0,152.0,92,3.78
2019-09-25,45.815,32.0,ALL,88,ALL,25.0,32.5,40.0,177.0,40,3.78
2019-09-26,34.055,32.0,ALL,88,ALL,25.0,32.5,40.0,301.0,40,3.78
2019-09-27,150.425,166.0,ALL,88,ALL,127.0,166.5,206.0,474.0,206,3.78
2019-10-02,76.21,77.0,ALL,88,ALL,59.0,77.5,96.0,118.0,96,3.78
2019-10-03,51.975,55.0,ALL,88,ALL,42.0,55.0,68.0,383.0,68,3.78
2019-10-04,65.325,55.0,ALL,88,ALL,42.0,55.0,68.0,472.0,68,3.78
2019-10-05,58.83,53.0,ALL,88,ALL,41.0,53.5,66.0,0.0,66,3.78
2019-10-07,52.965,53.0,ALL,88,ALL,41.0,53.5,66.0,274.0,66,3.78
2019-10-08,50.475,51.0,ALL,88,ALL,39.0,51.5,64.0,445.0,64,3.78
2019-10-09,47.39,48.0,ALL,88,ALL,37.0,48.5,60.0,0.0,60,3.78
2019-10-10,49.685,48.0,ALL,88,ALL,37.0,48.5,60.0,177.0,60,3.78
2019-10-11,84.32,60.0,ALL,88,ALL,46.0,60.0,74.0,354.0,74,3.78
2019-10-14,60.815,60.0,ALL,88,ALL,46.0,60.0,74.0,93.0,74,3.78
2019-10-15,38.145,39.0,ALL,88,ALL,30.0,39.0,48.0,354.0,48,3.78
2019-10-16,45.095,39.0,ALL,88,ALL,30.0,39.0,48.0,295.0,48,3.78
2019-10-17,52.315,39.0,ALL,88,ALL,30.0,39.0,48.0,624.0,48,3.78
2019-10-18,70.545,71.0,ALL,88,ALL,54.0,71.0,88.0,2.0,88,3.78
2019-10-19,68.38,68.0,ALL,88,ALL,52.0,68.0,84.0,0.0,84,3.78
2019-10-21,79.11,68.0,ALL,88,ALL,52.0,68.0,84.0,265.0,84,3.78
2019-10-22,119.515,137.0,ALL,88,ALL,105.0,137.5,170.0,147.0,170,3.78
2019-10-23,44.855,35.0,ALL,88,ALL,27.0,35.5,44.0,295.0,44,3.78
2019-10-24,65.66,74.0,ALL,88,ALL,57.0,74.5,92.0,150.0,92,3.78
2019-10-25,63.08,71.0,ALL,88,ALL,54.0,71.0,88.0,472.0,88,3.78
2019-10-26,140.19,148.0,ALL,88,ALL,113.0,148.5,184.0,0.0,184,3.78
2019-10-28,151.0,148.0,ALL,88,ALL,113.0,148.5,184.0,238.0,184,3.78
2019-10-29,137.695,145.0,ALL,88,ALL,111.0,145.5,180.0,59.0,180,3.78
2019-10-30,155.715,184.0,ALL,88,ALL,140.0,184.0,228.0,334.0,228,3.78
2019-10-31,42.69,29.0,ALL,88,ALL,22.0,29.0,36.0,2.0,36,3.78
2019-11-02,49.225,26.0,ALL,88,ALL,20.0,26.0,32.0,0.0,32,3.78
2019-11-05,88.79,72.0,ALL,88,ALL,55.0,72.5,90.0,180.0,90,3.78
2019-11-06,359.77,470.0,ALL,88,ALL,358.0,470.0,582.0,295.0,582,3.78
2019-11-07,81.555,82.0,ALL,88,ALL,63.0,82.5,102.0,206.0,102,3.78
2019-11-08,58.705,39.0,ALL,88,ALL,30.0,39.0,48.0,472.0,48,3.78
2019-11-09,52.83,39.0,ALL,88,ALL,30.0,39.0,48.0,0.0,48,3.78
2019-11-13,197.305,187.0,ALL,88,ALL,143.0,187.5,232.0,295.0,232,3.78
2019-11-14,74.23,77.0,ALL,88,ALL,59.0,77.5,96.0,210.0,96,3.78
2019-11-15,65.015,63.0,ALL,88,ALL,48.0,63.0,78.0,442.0,78,3.78
2019-11-16,67.72,63.0,ALL,88,ALL,48.0,63.0,78.0,0.0,78,3.78
2019-11-18,62.305,63.0,ALL,88,ALL,48.0,63.0,78.0,324.0,78,3.78
2019-11-19,70.67,77.0,ALL,88,ALL,59.0,77.5,96.0,91.0,96,3.78
2019-11-20,140.745,126.0,ALL,88,ALL,96.0,126.0,156.0,295.0,156,3.78
2019-11-21,118.29,126.0,ALL,88,ALL,96.0,126.0,156.0,209.0,156,3.78
2019-11-22,98.465,119.0,ALL,88,ALL,91.0,119.5,148.0,472.0,148,3.78
2019-11-23,113.49,119.0,ALL,88,ALL,91.0,119.5,148.0,0.0,148,3.78
2019-11-25,115.39,119.0,ALL,88,ALL,91.0,119.5,148.0,295.0,148,3.78
2019-11-26,103.105,119.0,ALL,88,ALL,91.0,119.5,148.0,88.0,148,3.78
