producto,fecha,udsprevisionempresa
67,2019-03-05,5979
44,2019-03-05,7829
72,2019-03-05,4452
23,2019-03-05,9377
87,2019-03-05,4071
46,2019-03-05,7653
19,2019-03-05,12136
24,2019-03-05,14320
42,2019-03-05,6179
5,2019-03-05,35577
84,2019-03-05,2056
40,2019-03-05,8323
4,2019-03-05,34715
81,2019-03-05,7094
30,2019-03-05,7676
45,2019-03-05,6036
98,2019-03-05,2813
13,2019-03-05,14301
36,2019-03-05,6499
31,2019-03-05,8686
60,2019-03-05,2073
29,2019-03-05,11015
7,2019-03-05,25190
88,2019-03-05,2211
50,2019-03-05,5441
35,2019-03-05,9800
54,2019-03-05,5853
59,2019-03-05,3193
18,2019-03-05,13939
16,2019-03-05,14589
75,2019-03-05,2863
12,2019-03-05,18083
70,2019-03-05,4663
34,2019-03-05,23732
78,2019-03-05,2316
71,2019-03-05,4706
11,2019-03-05,22592
48,2019-03-05,6470
89,2019-03-05,2921
92,2019-03-05,637
38,2019-03-05,5580
58,2019-03-05,187
43,2019-03-05,7484
53,2019-03-05,9229
69,2019-03-05,6580
95,2019-03-05,3075
91,2019-03-05,3204
3,2019-03-05,24088
62,2019-03-05,4643
20,2019-03-05,11839
77,2019-03-05,1759
26,2019-03-05,8651
82,2019-03-05,4250
10,2019-03-05,13679
64,2019-03-05,5882
85,2019-03-05,1505
15,2019-03-05,11477
73,2019-03-05,3541
76,2019-03-05,3800
14,2019-03-05,13332
79,2019-03-05,3463
37,2019-03-05,2490
1,2019-03-05,80625
74,2019-03-05,6789
2,2019-03-05,37266
66,2019-03-05,4250
96,2019-03-05,2722
9,2019-03-05,15019
28,2019-03-05,9831
21,2019-03-05,9374
97,2019-03-05,1245
17,2019-03-05,6458
83,2019-03-05,9347
71,2019-03-06,5966
75,2019-03-06,3719
36,2019-03-06,10088
5,2019-03-06,46685
38,2019-03-06,10234
80,2019-03-06,6002
2,2019-03-06,77932
20,2019-03-06,20017
78,2019-03-06,3744
45,2019-03-06,7734
54,2019-03-06,9500
99,2019-03-06,5313
19,2019-03-06,19623
17,2019-03-06,9965
23,2019-03-06,22957
34,2019-03-06,17426
18,2019-03-06,21772
58,2019-03-06,324
21,2019-03-06,14883
30,2019-03-06,13069
59,2019-03-06,3655
15,2019-03-06,12752
84,2019-03-06,2349
91,2019-03-06,2920
11,2019-03-06,13224
29,2019-03-06,13421
63,2019-03-06,6863
52,2019-03-06,7942
69,2019-03-06,8664
9,2019-03-06,43642
60,2019-03-06,2693
88,2019-03-06,2253
97,2019-03-06,3643
48,2019-03-06,8049
16,2019-03-06,16410
70,2019-03-06,7680
43,2019-03-06,9780
62,2019-03-06,5461
87,2019-03-06,5552
94,2019-03-06,4880
10,2019-03-06,21106
67,2019-03-06,8189
49,2019-03-06,12558
68,2019-03-06,4640
1,2019-03-06,98195
64,2019-03-06,8935
7,2019-03-06,22041
98,2019-03-06,3938
26,2019-03-06,8346
44,2019-03-06,13172
42,2019-03-06,8275
32,2019-03-06,11926
37,2019-03-06,1980
79,2019-03-06,5084
4,2019-03-06,41564
85,2019-03-06,3488
28,2019-03-06,12413
96,2019-03-06,3734
72,2019-03-06,6223
76,2019-03-06,5116
31,2019-03-06,11586
12,2019-03-06,21815
40,2019-03-06,9815
3,2019-03-06,45342
74,2019-03-06,6199
89,2019-03-06,3805
46,2019-03-06,10164
