,producto,fecha_primera_venta,fecha_ultima_venta,freq_venta,venta_min,venta_q5,venta_q25,venta_median,venta_q75,venta_q95,venta_max,venta_iqr,venta_mean,venta_std,venta_CV,venta_skew,venta_kurtosis,venta_mad
34,49,2019-06-05,2020-03-22,292,0.0,0.0,714.5,1147.0,1420.25,1864.7499999999995,3578.0,705.75,1030.640410958904,645.7039506622684,0.6254337964138572,0.2019171993788488,1.0003905471236596,496.1129433289548
35,5,2019-06-05,2020-03-22,292,0.0,0.0,2067.75,2992.0,3453.0,4531.15,15527.0,1385.25,2661.1849315068494,1848.2640411160994,0.6933364417162823,1.5633471263845917,9.29317239231885,1246.308266091199
36,50,2019-06-05,2020-03-22,292,0.0,0.0,71.25,612.0,753.75,1331.7499999999998,2162.0,682.5,544.8835616438356,435.2587966629676,0.7974416589002207,0.5258265158343954,0.1948675125159105,348.0425501970351
37,52,2019-06-05,2020-03-22,292,0.0,0.0,110.0,723.0,944.0,1295.25,2483.0,834.0,643.1027397260274,482.6735142589021,0.7492524598637111,0.4421456668064267,0.6571645815206795,388.56933758678923
38,53,2019-06-05,2020-03-22,292,0.0,0.0,383.5,642.0,842.75,1430.7499999999998,3911.0,459.25,662.8938356164383,559.6179959625752,0.8427577601813474,2.136783592450389,8.71135517192145,359.63677519234375
39,55,2019-06-05,2020-03-22,292,0.0,0.0,389.25,764.5,1112.25,1854.0,4132.0,723.0,777.5616438356165,596.316395556637,0.7655913004927677,1.1473396093594495,3.7349980034023424,443.08556952523924
40,57,2019-06-05,2020-03-22,292,0.0,0.0,0.0,22.0,101.0,1086.9,1397.0,101.0,187.82534246575344,352.3712706013972,1.8728429989532862,1.9126516692603281,2.2120940737778554,260.8710827547382
41,58,2019-06-05,2020-03-22,292,0.0,0.0,0.0,17.0,27.0,44.0,66.0,27.0,17.27054794520548,15.456137551628984,0.8934081833132423,0.5183990117677315,-0.4581226496937152,12.728161944079565
42,59,2019-06-05,2020-03-22,292,0.0,0.0,76.0,301.0,416.5,623.9499999999998,1237.0,340.5,282.6232876712329,218.6919294479083,0.7724669032219645,0.7791357619060426,1.4675973792141033,171.09945580784387
43,60,2019-06-05,2020-03-22,292,0.0,0.0,51.0,247.0,338.25,477.45,1628.0,287.25,229.33904109589042,191.88122252181344,0.8352366700497296,1.7093749223249832,9.422250529117361,145.06448207918933
44,61,2019-06-05,2020-03-22,292,0.0,0.0,7.0,583.0,855.25,1332.9,2813.0,848.25,551.7054794520548,478.904608768562,0.866556307922523,0.6724563734083293,0.86496349129269,384.8586038656408
45,62,2019-06-05,2020-03-22,292,0.0,0.0,103.0,273.0,370.75,562.8999999999997,1188.0,267.75,264.24657534246575,218.39598203961827,0.8250691435029358,1.2142764534846617,2.9214638249456764,164.08913492212423
