fecha,producto,udsventa
2015-07-10,46,1131
2015-07-10,97,231
2015-07-10,55,1141
2015-07-10,79,531
2015-07-10,24,1008
2015-07-10,1,12044
2015-07-10,36,1238
2015-07-10,70,638
2015-07-10,73,852
2015-07-10,10,3350
2015-07-10,68,612
2015-07-11,44,102
2015-07-11,21,3616
2015-07-11,14,147
2015-07-11,64,66
2015-07-11,49,787
2015-07-11,16,177
2015-07-11,24,801
2015-07-11,79,59
2015-07-11,29,125
2015-07-11,72,246
2015-07-11,84,22
2015-07-11,18,154
2015-07-11,19,14
2015-07-11,43,125
2015-07-12,14,1490
2015-07-12,43,672
2015-07-12,29,913
2015-07-12,84,413
2015-07-12,18,483
2015-07-12,74,6
2015-07-12,79,435
2015-07-12,64,377
2015-07-12,19,632
2015-07-12,16,1741
2015-07-13,62,895
2015-07-13,21,1303
2015-07-13,20,1533
2015-07-13,97,280
2015-07-13,40,2428
2015-07-13,88,4
2015-07-13,70,597
2015-07-13,23,2009
2015-07-13,26,820
2015-07-13,29,1027
2015-07-13,9,2125
2015-07-13,46,1392
2015-07-13,49,565
2015-07-13,10,1682
2015-07-13,38,750
2015-07-13,24,605
2015-07-13,50,924
2015-07-13,66,1136
2015-07-13,22,799
2015-07-13,96,306
2015-07-13,74,247
2015-07-13,61,710
2015-07-13,16,1843
2015-07-13,36,717
2015-07-13,4,649
2015-07-13,19,694
2015-07-13,91,425
2015-07-13,14,1611
2015-07-13,34,4
2015-07-13,75,2081
2015-07-13,87,381
2015-07-13,73,740
2015-07-13,48,1293
2015-07-13,33,2528
2015-07-13,53,1025
2015-07-13,1,4959
2015-07-13,94,559
2015-07-13,98,382
2015-07-13,60,369
2015-07-13,18,642
2015-07-13,35,1810
2015-07-13,32,1889
2015-07-13,43,745
2015-07-13,44,2140
2015-07-13,68,367
2015-07-13,84,476
2015-07-13,54,1227
2015-07-13,72,172
2015-07-13,63,966
2015-07-13,71,691
2015-07-13,59,488
2015-07-13,17,912
2015-07-13,55,1156
2015-07-13,15,1062
2015-07-13,30,2900
2015-07-13,64,448
2015-07-13,89,581
2015-07-13,79,514
2015-07-13,5,6612
2015-07-13,12,3498
2015-07-13,13,2450
2015-07-13,78,627
2015-07-13,57,1250
2015-07-13,42,1480
2015-07-13,67,821
2015-07-13,82,985
2015-07-13,7,4132
2015-07-14,30,1527
2015-07-14,7,1180
2015-07-14,19,755
2015-07-14,94,232
2015-07-14,87,273
2015-07-14,33,472
2015-07-14,20,1295
2015-07-14,46,821
2015-07-14,29,985
2015-07-14,82,785
2015-07-14,44,1066
2015-07-14,60,153
2015-07-14,57,762
2015-07-14,75,1232
2015-07-14,73,549
2015-07-14,38,1102
2015-07-14,79,532
2015-07-14,78,425
2015-07-14,4,1948
2015-07-14,40,1520
2015-07-14,71,747
2015-07-14,50,685
2015-07-14,89,499
2015-07-14,61,452
2015-07-14,59,537
2015-07-14,54,769
2015-07-14,5,4885
2015-07-14,68,388
2015-07-14,36,665
2015-07-14,64,408
2015-07-14,74,244
2015-07-14,53,1239
2015-07-14,14,1522
2015-07-14,17,992
2015-07-14,26,862
2015-07-14,98,230
2015-07-14,62,831
2015-07-14,63,900
2015-07-14,35,1662
2015-07-14,91,437
2015-07-14,9,2833
2015-07-14,96,202
2015-07-14,21,861
2015-07-14,18,707
2015-07-14,43,751
2015-07-14,34,236
2015-07-14,24,1077
2015-07-14,55,708
