fecha,producto,udsstock,udsventa,udsprevisionempresa,promo,festivo,weekday
2019-06-08,96,,0.0,251.0,1.0,0.0,5
2019-06-08,97,,,420.0,0.0,0.0,5
2019-06-08,98,,,276.0,0.0,0.0,5
2019-06-08,99,,,,0.0,0.0,5
2019-06-09,1,,,,0.0,0.0,6
2019-06-09,10,,,,0.0,0.0,6
2019-06-09,11,,,,0.0,0.0,6
2019-06-09,12,,,,0.0,0.0,6
2019-06-09,13,,,,0.0,0.0,6
2019-06-09,14,,,,0.0,0.0,6
2019-06-09,15,,,,0.0,0.0,6
2019-06-09,17,,,,1.0,0.0,6
2019-06-09,18,,,,0.0,0.0,6
2019-06-09,19,,,,0.0,0.0,6
2019-06-09,2,,,,0.0,0.0,6
2019-06-09,20,,,32.0,1.0,0.0,6
2019-06-09,21,,,,0.0,0.0,6
2019-06-09,22,,,,0.0,0.0,6
2019-06-09,23,,,73.0,1.0,0.0,6
2019-06-09,24,,,,0.0,0.0,6
2019-06-09,26,,,,1.0,0.0,6
2019-06-09,28,,,,0.0,0.0,6
2019-06-09,29,,,,0.0,0.0,6
2019-06-09,3,,,0.0,1.0,0.0,6
2019-06-09,30,,,,0.0,0.0,6
2019-06-09,31,,,,0.0,0.0,6
2019-06-09,32,,,,0.0,0.0,6
2019-06-09,35,,,,0.0,0.0,6
2019-06-09,36,,,,1.0,0.0,6
2019-06-09,37,,,,0.0,0.0,6
2019-06-09,38,,,,1.0,0.0,6
2019-06-09,4,,,,0.0,0.0,6
2019-06-09,40,,,,1.0,0.0,6
2019-06-09,42,,,,0.0,0.0,6
2019-06-09,43,,,,0.0,0.0,6
2019-06-09,45,,,,0.0,0.0,6
2019-06-09,46,,,,0.0,0.0,6
2019-06-09,48,,,,0.0,0.0,6
2019-06-09,49,,,,0.0,0.0,6
2019-06-09,5,,,,0.0,0.0,6
2019-06-09,50,,,,0.0,0.0,6
2019-06-09,52,,,,0.0,0.0,6
2019-06-09,53,,,,0.0,0.0,6
2019-06-09,55,,,,0.0,0.0,6
2019-06-09,57,,,2.0,0.0,0.0,6
2019-06-09,58,,,,0.0,0.0,6
2019-06-09,59,,,,1.0,0.0,6
2019-06-09,60,,,,0.0,0.0,6
2019-06-09,61,,,,0.0,0.0,6
2019-06-09,62,,,,0.0,0.0,6
2019-06-09,63,,,,0.0,0.0,6
2019-06-09,64,,,,0.0,0.0,6
2019-06-09,66,,,,1.0,0.0,6
2019-06-09,67,,,,0.0,0.0,6
2019-06-09,68,,,,0.0,0.0,6
2019-06-09,69,,,,1.0,0.0,6
2019-06-09,72,,,,0.0,0.0,6
2019-06-09,73,,,2.0,1.0,0.0,6
2019-06-09,74,,,,0.0,0.0,6
2019-06-09,77,,,,0.0,0.0,6
2019-06-09,78,,,,0.0,0.0,6
2019-06-09,79,,,,0.0,0.0,6
2019-06-09,80,,,,0.0,0.0,6
2019-06-09,84,,,,1.0,0.0,6
2019-06-09,85,,,,0.0,0.0,6
2019-06-09,87,,,40.0,0.0,0.0,6
2019-06-09,88,,,,0.0,0.0,6
2019-06-09,89,,,,0.0,0.0,6
2019-06-09,9,,,,0.0,0.0,6
2019-06-09,91,,,,1.0,0.0,6
2019-06-09,94,,,5.0,0.0,0.0,6
2019-06-09,95,,,8.0,0.0,0.0,6
2019-06-09,96,,,,1.0,0.0,6
2019-06-09,97,,,,0.0,0.0,6
2019-06-09,98,,,,0.0,0.0,6
2019-06-09,99,,,,0.0,0.0,6
2019-06-10,1,,8029.0,19837.0,0.0,0.0,0
2019-06-10,10,,1372.0,20563.0,0.0,0.0,0
2019-06-10,11,,1102.0,14878.0,0.0,0.0,0
2019-06-10,12,,600.0,9759.0,0.0,0.0,0
2019-06-10,13,,1121.0,11991.0,0.0,0.0,0
2019-06-10,14,,,13238.0,0.0,0.0,0
2019-06-10,15,,944.0,8501.0,0.0,0.0,0
2019-06-10,17,,2338.0,16077.0,1.0,0.0,0
2019-06-10,18,,,13560.0,0.0,0.0,0
2019-06-10,19,,,14518.0,0.0,0.0,0
2019-06-10,2,,4329.0,19365.0,0.0,0.0,0
2019-06-10,20,,1731.0,15106.0,1.0,0.0,0
2019-06-10,21,,1131.0,9372.0,0.0,0.0,0
2019-06-10,22,,837.0,7522.0,0.0,0.0,0
2019-06-10,23,,1835.0,17282.0,1.0,0.0,0
2019-06-10,24,,2233.0,21069.0,0.0,0.0,0
2019-06-10,26,,1257.0,8630.0,1.0,0.0,0
2019-06-10,28,,553.0,5295.0,0.0,0.0,0
2019-06-10,29,,,10324.0,0.0,0.0,0
2019-06-10,3,,6612.0,60079.0,1.0,0.0,0
2019-06-10,30,,511.0,5371.0,0.0,0.0,0
2019-06-10,31,,521.0,6382.0,0.0,0.0,0
2019-06-10,32,,492.0,4646.0,0.0,0.0,0
2019-06-10,35,,797.0,6878.0,0.0,0.0,0
2019-06-10,36,,851.0,9777.0,1.0,0.0,0
2019-06-10,37,,174.0,1777.0,0.0,0.0,0
2019-06-10,38,,772.0,7729.0,1.0,0.0,0
2019-06-10,4,,2952.0,30582.0,0.0,0.0,0
2019-06-10,40,,420.0,3431.0,1.0,0.0,0
2019-06-10,42,,420.0,4591.0,0.0,0.0,0
2019-06-10,43,,,6844.0,0.0,0.0,0
2019-06-10,45,,,6692.0,0.0,0.0,0
2019-06-10,46,,782.0,6709.0,0.0,0.0,0
2019-06-10,48,,398.0,4219.0,0.0,0.0,0
2019-06-10,49,,902.0,9566.0,0.0,0.0,0
2019-06-10,5,,2597.0,26483.0,0.0,0.0,0
2019-06-10,50,,546.0,6318.0,0.0,0.0,0
2019-06-10,52,,811.0,7642.0,0.0,0.0,0
2019-06-10,53,,1121.0,7620.0,0.0,0.0,0
2019-06-10,55,,718.0,5756.0,0.0,0.0,0
2019-06-10,57,,1162.0,9739.0,1.0,0.0,0
2019-06-10,58,,14.0,278.0,0.0,0.0,0
2019-06-10,59,,418.0,4399.0,1.0,0.0,0
2019-06-10,60,,281.0,3293.0,0.0,0.0,0
2019-06-10,61,,762.0,6805.0,0.0,0.0,0
2019-06-10,62,,250.0,2771.0,0.0,0.0,0
2019-06-10,63,,309.0,2957.0,0.0,0.0,0
2019-06-10,64,,,7111.0,0.0,0.0,0
2019-06-10,66,,555.0,2665.0,1.0,0.0,0
2019-06-10,67,,831.0,8178.0,0.0,0.0,0
2019-06-10,68,,300.0,3369.0,0.0,0.0,0
2019-06-10,69,,701.0,4928.0,1.0,0.0,0
2019-06-10,72,,442.0,3808.0,0.0,0.0,0
2019-06-10,73,,678.0,6444.0,1.0,0.0,0
2019-06-10,74,,723.0,5769.0,0.0,0.0,0
2019-06-10,77,,198.0,2634.0,0.0,0.0,0
2019-06-10,78,,450.0,4798.0,0.0,0.0,0
2019-06-10,79,,,4180.0,0.0,0.0,0
2019-06-10,80,,1180.0,8625.0,0.0,0.0,0
2019-06-10,84,,,2450.0,1.0,0.0,0
2019-06-10,85,,393.0,2456.0,0.0,0.0,0
2019-06-10,87,,488.0,5225.0,0.0,0.0,0
2019-06-10,88,,209.0,2253.0,0.0,0.0,0
2019-06-10,89,,413.0,3775.0,0.0,0.0,0
2019-06-10,9,,2755.0,12516.0,0.0,0.0,0
2019-06-10,91,,147.0,3650.0,0.0,0.0,0
2019-06-10,94,,937.0,4243.0,1.0,0.0,0
2019-06-10,95,,1440.0,3701.0,1.0,0.0,0
2019-06-10,96,,428.0,3228.0,1.0,0.0,0
2019-06-10,97,,488.0,3853.0,0.0,0.0,0
2019-06-10,98,,381.0,4078.0,0.0,0.0,0
2019-06-10,99,,516.0,5047.0,0.0,0.0,0
2019-06-11,1,2920.0,1416.0,13602.0,0.0,0.0,1
2019-06-11,10,3062.0,1387.0,17688.0,0.0,0.0,1
2019-06-11,11,2403.0,2204.0,14547.0,0.0,0.0,1
2019-06-11,12,1666.0,688.0,10089.0,0.0,0.0,1
2019-06-11,13,1744.0,826.0,12626.0,0.0,0.0,1
2019-06-11,14,1216.0,2774.0,11824.0,0.0,0.0,1
2019-06-11,15,1395.0,472.0,3400.0,0.0,0.0,1
2019-06-11,17,1675.0,2247.0,13595.0,1.0,0.0,1
2019-06-11,18,1111.0,2927.0,13426.0,0.0,0.0,1
2019-06-11,19,4221.0,3228.0,11550.0,0.0,0.0,1
2019-06-11,2,1944.0,3148.0,19994.0,0.0,0.0,1
2019-06-11,20,844.0,1393.0,9887.0,1.0,0.0,1
2019-06-11,21,194.0,1082.0,8521.0,0.0,0.0,1
2019-06-11,22,1484.0,394.0,4745.0,0.0,0.0,1
2019-06-11,23,1314.0,953.0,8889.0,1.0,0.0,1
2019-06-11,24,1466.0,1645.0,15843.0,0.0,0.0,1
2019-06-11,26,1773.0,710.0,5502.0,1.0,0.0,1
2019-06-11,28,1106.0,642.0,6693.0,0.0,0.0,1
2019-06-11,29,864.0,2474.0,9006.0,0.0,0.0,1
2019-06-11,3,3566.0,2833.0,42886.0,0.0,0.0,1
2019-06-11,30,849.0,541.0,3684.0,0.0,0.0,1
2019-06-11,31,840.0,462.0,5514.0,0.0,0.0,1
2019-06-11,32,2157.0,570.0,3438.0,0.0,0.0,1
2019-06-11,35,982.0,757.0,4792.0,0.0,0.0,1
2019-06-11,36,1011.0,410.0,4831.0,1.0,0.0,1
2019-06-11,37,415.0,236.0,1064.0,0.0,0.0,1
2019-06-11,38,2133.0,396.0,4061.0,1.0,0.0,1
2019-06-11,4,362.0,5904.0,29992.0,0.0,0.0,1
2019-06-11,40,126.0,428.0,2789.0,1.0,0.0,1
2019-06-11,42,649.0,287.0,3404.0,0.0,0.0,1
2019-06-11,43,505.0,1241.0,5932.0,0.0,0.0,1
2019-06-11,45,820.0,1322.0,4157.0,0.0,0.0,1
2019-06-11,46,1518.0,792.0,6045.0,0.0,0.0,1
2019-06-11,48,882.0,405.0,3498.0,0.0,0.0,1
2019-06-11,49,313.0,847.0,8196.0,0.0,0.0,1
2019-06-11,5,,3350.0,27217.0,0.0,0.0,1
2019-06-11,50,1726.0,313.0,4471.0,0.0,0.0,1
2019-06-11,52,,693.0,5418.0,0.0,0.0,1
2019-06-11,53,,804.0,7120.0,0.0,0.0,1
2019-06-11,55,245.0,624.0,6190.0,0.0,0.0,1
2019-06-11,57,1720.0,953.0,3432.0,1.0,0.0,1
2019-06-11,58,,22.0,143.0,0.0,0.0,1
2019-06-11,59,962.0,210.0,2751.0,1.0,0.0,1
2019-06-11,60,116.0,126.0,1432.0,0.0,0.0,1
2019-06-11,61,1009.0,543.0,4007.0,0.0,0.0,1
2019-06-11,62,407.0,228.0,2094.0,0.0,0.0,1
2019-06-11,63,581.0,206.0,2152.0,0.0,0.0,1
2019-06-11,64,815.0,1245.0,5720.0,0.0,0.0,1
2019-06-11,66,685.0,526.0,1894.0,1.0,0.0,1
2019-06-11,67,37.0,485.0,3698.0,0.0,0.0,1
