"fecha";"producto";"udsVenta"
"20190513";"1";"8063,88"
"20190713";"1";"472,32"
"20180913";"1";"4959,36"
"20171013";"1";"5667,84"
"20180814";"1";"6376,32"
"20150914";"1";"6376,32"
"20171014";"1";"9918,72"
"20181114";"1";"4250,88"
"20191114";"1";"17475,84"
"20160315";"1";"13461,12"
"20190315";"1";"1653,12"
"20160715";"1";"4250,88"
"20170216";"1";"8501,76"
"20190216";"1";"1416,96"
"20170316";"1";"7084,80"
"20170516";"1";"7793,28"
"20170816";"1";"26922,24"
"20170916";"1";"12752,64"
"20151016";"1";"11335,68"
"20170117";"1";"4959,36"
"20160218";"1";"6376,32"
"20190318";"1";"10391,04"
"20170418";"1";"7084,80"
"20160718";"1";"4959,36"
"20190718";"1";"7557,12"
"20170918";"1";"6376,32"
"20181018";"1";"37549,44"
"20151118";"1";"6376,32"
"20191118";"1";"6140,16"
"20191218";"1";"2833,92"
"20190319";"1";"1416,96"
"20170419";"1";"12044,16"
"20160919";"1";"5667,84"
"20180919";"1";"24088,32"
"20170220";"1";"6376,32"
"20170420";"1";"7084,80"
"20160620";"1";"708,48"
"20160720";"1";"8501,76"
"20190720";"1";"944,64"
"20180920";"1";"36132,48"
"20181120";"1";"4959,36"
"20190221";"1";"9918,72"
"20160321";"1";"12752,64"
"20180521";"1";"10627,20"
"20190621";"1";"4723,20"
"20150821";"1";"14878,08"
"20190821";"1";"8501,76"
"20160921";"1";"12044,16"
"20161021";"1";"7084,80"
"20171021";"1";"11335,68"
"20160422";"1";"9918,72"
"20180522";"1";"2833,92"
"20170722";"1";"14878,08"
"20170822";"1";"13461,12"
"20180123";"1";"7084,80"
"20200123";"1";"8501,76"
"20160323";"1";"4959,36"
"20180423";"1";"8501,76"
"20150723";"1";"7793,28"
"20150923";"1";"17003,52"
"20160923";"1";"7084,80"
"20170124";"1";"8501,76"
"20170324";"1";"30464,64"
"20190524";"1";"1889,28"
"20171024";"1";"5667,84"
"20160225";"1";"5667,84"
"20150825";"1";"10627,20"
"20170825";"1";"3542,40"
"20180825";"1";"1416,96"
"20170126";"1";"7793,28"
"20190226";"1";"4959,36"
"20160426";"1";"28339,20"
"20150826";"1";"5667,84"
"20200127";"1";"8501,76"
"20170427";"1";"23379,84"
"20190427";"1";"472,32"
"20160527";"1";"7084,80"
"20151027";"1";"2833,92"
"20151127";"1";"14169,60"
"20191227";"1";"5195,52"
"20190628";"1";"4723,20"
"20150828";"1";"11335,68"
"20150928";"1";"3542,40"
"20160129";"1";"64471,68"
"20190329";"1";"3778,56"
"20180629";"1";"6376,32"
"20150729";"1";"9918,72"
"20160829";"1";"4959,36"
"20191029";"1";"1889,28"
"20161229";"1";"4959,36"
"20170130";"1";"4959,36"
"20180130";"1";"8501,76"
"20160430";"1";"4959,36"
"20170530";"1";"7793,28"
"20180131";"1";"7084,80"
"20190131";"1";"11335,68"
"20150731";"1";"19128,96"
"20160831";"1";"20545,92"
"20180831";"1";"6376,32"
"20191031";"1";"1889,28"
"20190401";"2";"2755,20"
"20190601";"2";"787,20"
"20170701";"2";"4959,36"
"20160801";"2";"708,48"
"20180502";"2";"4250,88"
"20160602";"2";"708,48"
"20170602";"2";"8501,76"
"20160702";"2";"708,48"
"20181002";"2";"4959,36"
"20200203";"2";"3542,40"
"20200303";"2";"3148,80"
"20180403";"2";"43925,76"
"20180903";"2";"4250,88"
"20200104";"2";"1180,80"
"20160204";"2";"354,24"
"20190504";"2";"1968,00"
"20190904";"2";"1180,80"
"20191204";"2";"5116,80"
"20180405";"2";"20545,92"
"20170705";"2";"5667,84"
"20180206";"2";"4250,88"
"20170306";"2";"2833,92"
"20190306";"2";"1574,40"
"20170606";"2";"4959,36"
"20190606";"2";"4329,60"
"20171006";"2";"4250,88"
"20181006";"2";"708,48"
"20171206";"2";"4250,88"
"20170207";"2";"3542,40"
"20190307";"2";"3148,80"
"20180807";"2";"4250,88"
"20200208";"2";"787,20"
"20170708";"2";"7084,80"
"20180109";"2";"6376,32"
"20170509";"2";"2125,44"
"20180509";"2";"3542,40"
"20161109";"2";"2125,44"
"20171109";"2";"3542,40"
"20171110";"2";"4250,88"
"20161210";"2";"708,48"
"20180111";"2";"6376,32"
"20190111";"2";"7084,80"
"20191211";"2";"1574,40"
"20160212";"2";"354,24"
"20180412";"2";"6376,32"
"20171012";"2";"2125,44"
"20161112";"2";"2125,44"
"20171212";"2";"2833,92"
"20181212";"2";"3542,40"
"20191212";"2";"4723,20"
"20170613";"2";"4959,36"
"20180613";"2";"3542,40"
"20180713";"2";"4959,36"
"20181113";"2";"2833,92"
"20160314";"2";"1062,72"
"20200314";"2";"3936,00"
"20180514";"2";"4250,88"
"20170714";"2";"2125,44"
"20190814";"2";"4723,20"
"20171114";"2";"3542,40"
"20180315";"2";"5667,84"
"20190615";"2";"1574,40"
"20170915";"2";"5667,84"
"20180915";"2";"2833,92"
"20191115";"2";"3936,00"
"20171215";"2";"6376,32"
"20180316";"2";"5667,84"
"20190316";"2";"1180,80"
"20180516";"2";"2833,92"
"20170616";"2";"7084,80"
"20180616";"2";"2833,92"
"20170217";"2";"7084,80"
"20180217";"2";"2125,44"
"20170817";"2";"4959,36"
"20171117";"2";"4959,36"
"20181117";"2";"2125,44"
"20161217";"2";"2125,44"
"20180118";"2";"7793,28"
"20190118";"2";"4250,88"
"20200118";"2";"787,20"
"20160318";"2";"708,48"
"20170518";"2";"2125,44"
"20180518";"2";"4250,88"
"20171018";"2";"4250,88"
"20181218";"2";"6376,32"
"20200319";"2";"8265,60"
"20160819";"2";"708,48"
"20171019";"2";"2833,92"
"20160120";"2";"354,24"
