"Producto";"fecha";"udsPrevisionEmpresa"
"61";"2019-05-17";"15870,6900"
"54";"2019-06-12";"2173,4100"
"43";"2019-09-10";"2367,5040"
"2";"2019-10-22";"13776,0000"
"46";"2019-12-17";"4698,6000"
"76";"2020-01-22";",0000"
"77";"2020-02-18";"1627,2900"
"37";"2019-03-12";"1570,7100"
"31";"2019-05-04";"4693,6800"
"68";"2019-07-02";"336,7740"
"15";"2019-08-27";"944,6400"
"50";"2019-09-07";"797,0400"
"9";"2019-10-19";"14169,6000"
"33";"2019-12-24";",0000"
"84";"2020-02-15";"513,6480"
"23";"2019-04-10";"36789,0540"
"40";"2019-06-18";"2538,7200"
"10";"2019-12-05";"22086,8640"
"74";"2019-12-25";"4627,2600"
"43";"2020-02-17";"5378,5440"
"29";"2019-05-13";"15320,8800"
"62";"2019-07-26";"553,5000"
"19";"2019-12-13";"8582,2020"
"83";"2020-01-02";"792,1200"
"52";"2020-02-25";"1903,3020"
"43";"2020-03-11";"4611,2700"
"50";"2019-03-19";"2521,5000"
"38";"2019-05-21";"8368,9200"
"1";"2019-12-20";"12469,2480"
"61";"2020-03-04";"5132,5440"
"96";"2019-02-28";"905,2800"
"47";"2019-05-29";"25632,2160"
"44";"2019-07-10";"2873,2800"
"53";"2019-08-10";"360,1440"
"1";"2019-11-27";"54411,2640"
"96";"2019-03-23";"197,5380"
"53";"2019-07-18";"767,5200"
"4";"2019-10-16";"29756,1600"
"13";"2019-10-24";"15694,8000"
"87";"2019-03-15";"1199,0040"
"1";"2019-05-25";"117717,8880"
"99";"2019-08-14";"7483,3200"
"98";"2019-08-27";"552,5160"
"5";"2019-09-10";"9821,3040"
"22";"2019-11-01";"3410,7900"
"78";"2019-03-07";"4715,5740"
"95";"2019-04-05";"3844,2420"
"2";"2019-04-19";"53372,1600"
"99";"2019-07-22";"856,0800"
"14";"2019-09-18";"2049,1800"
"59";"2019-10-05";"637,6320"
"84";"2019-11-27";"1703,3040"
"69";"2019-02-27";"866,4120"
"11";"2019-04-27";"13224,9600"
"20";"2019-05-28";"21677,5200"
"19";"2019-06-10";"14518,6740"
"81";"2019-07-29";"867,8880"
"23";"2019-09-26";"2307,4800"
"84";"2019-12-20";"1684,1160"
"42";"2020-03-24";"329,1480"
"77";"2019-03-20";"1303,3080"
"11";"2019-05-20";"31409,2800"
"28";"2019-06-18";"6270,0480"
"89";"2019-08-19";"1545,3720"
"75";"2019-12-12";"794,0880"
"73";"2020-01-07";"1186,2120"
"96";"2019-09-25";"1120,2840"
"95";"2019-11-06";"24,6000"
"2";"2019-11-14";"7084,8000"
"50";"2019-03-25";"8260,4340"
"21";"2019-04-22";"13495,5600"
"54";"2019-07-05";"858,7860"
"31";"2019-10-17";"7517,7600"
"57";"2019-11-26";"130,3800"
"91";"2020-01-23";"1449,4320"
"64";"2020-01-22";"3430,2240"
"35";"2020-02-19";"5821,3440"
"62";"2020-02-20";"2284,8480"
"13";"2019-03-29";"44319,3600"
"10";"2019-05-10";"34750,9440"
"74";"2019-05-30";"9150,4620"
"18";"2019-12-26";"8944,5600"
"9";"2020-01-10";"4329,6000"
"77";"2019-03-26";"1796,0460"
"48";"2019-04-23";"8225,2560"
"36";"2019-06-19";"6664,1400"
"70";"2019-08-16";"9,8400"
"13";"2019-10-01";"4197,7440"
"77";"2019-10-21";"802,9440"
"12";"2019-11-06";"6073,2480"
"46";"2020-01-06";"4767,4800"
"71";"2020-02-05";",0000"
"16";"2020-02-22";"58,0560"
"22";"2019-03-14";"2924,6940"
"35";"2019-07-25";"3560,1120"
"60";"2019-08-24";"643,5360"
"69";"2019-09-24";"805,8960"
"38";"2019-12-16";"4004,8800"
"36";"2020-01-11";"1669,3560"
"63";"2020-01-15";"1053,8640"
"24";"2020-03-14";"6368,9400"
"66";"2019-05-03";"13156,0800"
"66";"2019-05-09";"8800,8960"
"43";"2019-08-15";"2857,5360"
"43";"2019-08-21";"4705,9800"
