"id";"iniciopromo";"finpromo";"semanainicio";"semanafin";"Producto";"preciotarifa";"preciopromocion";"cantidad";"tipopromo"
"5911";"2018-04-06 00:00:00";"2018-04-20 00:00:00";"14";"16";"22";"3,82800";"3,68280";"";""
"5912";"2018-04-06 00:00:00";"2018-04-20 00:00:00";"14";"16";"68";"4,04550";"3,89205";"";""
"5913";"2018-04-06 00:00:00";"2018-04-20 00:00:00";"14";"16";"17";"3,95850";"3,80835";"";""
"5915";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"57";"3,46260";"3,33126";"";""
"5916";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"44";"3,59310";"3,45681";"";""
"5917";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"54";"3,68010";"3,54051";"";""
"5918";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"95";"3,59310";"3,45681";"";""
"5919";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"57";"3,46260";"3,33126";"";""
"5920";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"44";"3,59310";"3,45681";"";""
"5921";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"54";"3,68010";"3,54051";"";""
"5922";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"95";"3,59310";"3,45681";"";""
"5923";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"57";"3,46260";"3,33126";"";""
"5924";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"44";"3,59310";"3,45681";"";""
"5925";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"54";"3,68010";"3,54051";"";""
"5926";"2018-04-18 00:00:00";"2018-05-04 00:00:00";"16";"18";"95";"3,59310";"3,45681";"";""
"5929";"2018-04-06 00:00:00";"2018-04-13 00:00:00";"14";"15";"71";"3,39300";"3,34335";"";""
"5930";"2018-04-06 00:00:00";"2018-04-13 00:00:00";"14";"15";"23";"3,56700";"3,50517";"";""
"5932";"2018-04-06 00:00:00";"2018-04-13 00:00:00";"14";"15";"71";"3,39300";"3,34335";"";""
"5933";"2018-04-06 00:00:00";"2018-04-13 00:00:00";"14";"15";"23";"3,56700";"3,50517";"";""
"5934";"2018-04-02 00:00:00";"2018-05-02 00:00:00";"14";"18";"33";"6,47628";"5,19219";"";"FOLLETO"
"5935";"2018-04-02 00:00:00";"2018-05-02 00:00:00";"14";"18";"34";"6,47628";"5,19219";"";"FOLLETO"
"5938";"2018-04-02 00:00:00";"2018-05-02 00:00:00";"14";"18";"33";"6,47628";"5,19219";"";"FOLLETO"
"5941";"2018-04-02 00:00:00";"2018-05-02 00:00:00";"14";"18";"34";"6,47628";"5,19219";"";"FOLLETO"
"5944";"2018-04-02 00:00:00";"2018-05-02 00:00:00";"14";"18";"33";"6,60765";"5,19219";"";"FOLLETO"
"5945";"2018-04-02 00:00:00";"2018-05-02 00:00:00";"14";"18";"34";"6,60765";"5,19219";"";"FOLLETO"
"5949";"2018-04-02 00:00:00";"2018-05-02 00:00:00";"14";"18";"33";"6,47628";"5,19219";"";""
"5950";"2018-04-02 00:00:00";"2018-05-02 00:00:00";"14";"18";"34";"6,47628";"5,19219";"";""
"5956";"2018-04-30 00:00:00";"2018-05-15 00:00:00";"18";"20";"33";"7,05570";"5,05362";"";"REDENCIÓN"
"5958";"2018-04-30 00:00:00";"2018-05-15 00:00:00";"18";"20";"34";"7,05570";"5,05362";"";"REDENCIÓN"
"5959";"2018-04-16 00:00:00";"2018-04-24 00:00:00";"16";"17";"10";"3,39300";"3,62700";"";"HABITUAL"
"5960";"2018-04-16 00:00:00";"2018-04-24 00:00:00";"16";"17";"10";"3,39300";"3,62700";"";"HABITUAL"
"5961";"2018-04-16 00:00:00";"2018-04-24 00:00:00";"16";"17";"10";"3,39300";"3,62700";"";"HABITUAL"
"5962";"2018-04-16 00:00:00";"2018-04-24 00:00:00";"16";"17";"10";"3,39300";"3,62700";"";"HABITUAL"
"5964";"2018-04-16 00:00:00";"2018-04-24 00:00:00";"16";"17";"10";"3,39300";"3,62700";"";"HABITUAL"
"5965";"2018-04-24 00:00:00";"2018-05-15 00:00:00";"17";"20";"77";"5,95776";"5,41260";"";"HABITUAL"
"5966";"2018-04-24 00:00:00";"2018-05-15 00:00:00";"17";"20";"22";"5,76375";"5,16708";"";""
"5967";"2018-04-24 00:00:00";"2018-05-15 00:00:00";"17";"20";"17";"6,11523";"5,46375";"";""
"5968";"2018-04-24 00:00:00";"2018-05-15 00:00:00";"17";"20";"68";"6,14394";"5,20521";"";""
"5969";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"77";"5,95776";"5,41260";"";""
"5970";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"22";"5,76375";"5,16708";"";""
"5971";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"17";"6,11523";"5,46375";"";""
"5972";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"68";"6,14394";"5,20521";"";""
"5973";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"77";"5,95776";"5,41260";"";""
"5974";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"22";"5,76375";"5,16708";"";""
"5975";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"17";"6,11523";"5,46375";"";""
"5976";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"68";"6,14394";"5,20521";"";""
"5977";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"77";"5,75766";"5,19870";"";""
"5978";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"22";"5,33223";"4,95318";"";""
"5979";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"17";"5,81508";"5,24985";"";""
"5980";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"68";"5,52450";"4,99131";"";""
"5981";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"77";"5,75766";"5,19870";"";""
"5982";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"22";"5,33223";"4,95318";"";""
"5983";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"17";"5,81508";"5,24985";"";""
"5984";"2018-04-23 00:00:00";"2018-05-14 00:00:00";"17";"20";"68";"5,52798";"4,99131";"";""
"5985";"2018-05-03 00:00:00";"2018-05-03 00:00:00";"18";"18";"1";"4,00026";"4,27614";"18";"FOLLETO"
"5986";"2018-05-02 00:00:00";"2018-05-02 00:00:00";"18";"18";"1";"4,00026";"4,27614";"14";"FOLLETO"
"5987";"2018-05-03 00:00:00";"2018-05-03 00:00:00";"18";"18";"1";"4,00026";"4,27614";"22";"FOLLETO"
"5988";"2018-05-03 00:00:00";"2018-05-03 00:00:00";"18";"18";"1";"4,00026";"4,27614";"10";"FOLLETO"
"5989";"2018-05-03 00:00:00";"2018-05-03 00:00:00";"18";"18";"1";"4,00026";"4,27614";"12";"FOLLETO"
"5990";"2018-05-03 00:00:00";"2018-05-03 00:00:00";"18";"18";"1";"4,00026";"4,27614";"13";"FOLLETO"
"5993";"2018-04-16 00:00:00";"2018-04-23 00:00:00";"16";"17";"70";"4,38480";"4,51050";"";""
"5994";"2018-04-16 00:00:00";"2018-05-07 00:00:00";"16";"19";"58";"4,28040";"4,43145";"";""
"5995";"2018-04-16 00:00:00";"2018-05-07 00:00:00";"16";"19";"37";"3,52350";"3,60468";"";""
"6000";"2018-05-07 00:00:00";"2018-05-14 00:00:00";"19";"20";"43";"4,50834";"4,64442";"";"MASIVA"
"6001";"2018-05-07 00:00:00";"2018-05-14 00:00:00";"19";"20";"43";"4,50834";"4,64442";"";"MASIVA"
"6002";"2018-05-07 00:00:00";"2018-05-14 00:00:00";"19";"20";"43";"4,50834";"4,64442";"";"MASIVA"
"6003";"2018-05-07 00:00:00";"2018-05-14 00:00:00";"19";"20";"43";"4,50834";"4,64442";"";"MASIVA"
"6004";"2018-05-14 00:00:00";"2018-05-21 00:00:00";"20";"21";"14";"3,54873";"3,71442";"";"FOLLETO"
"6005";"2018-05-14 00:00:00";"2018-05-21 00:00:00";"20";"21";"14";"3,54873";"3,71442";"";"FOLLETO"
"6006";"2018-05-14 00:00:00";"2018-05-21 00:00:00";"20";"21";"14";"3,54873";"3,71442";"";"FOLLETO"
"6007";"2018-05-14 00:00:00";"2018-05-21 00:00:00";"20";"21";"14";"3,54873";"3,71442";"";"FOLLETO"
"6008";"2018-05-21 00:00:00";"2018-05-28 00:00:00";"21";"22";"18";"4,50834";"4,64442";"";"MASIVA"
"6009";"2018-05-21 00:00:00";"2018-05-28 00:00:00";"21";"22";"18";"4,50834";"4,64442";"";"MASIVA"
"6010";"2018-05-21 00:00:00";"2018-05-28 00:00:00";"21";"22";"18";"4,50834";"4,64442";"";"MASIVA"
"6011";"2018-05-21 00:00:00";"2018-05-28 00:00:00";"21";"22";"18";"4,50834";"4,64442";"";"MASIVA"
"6013";"2018-04-02 00:00:00";"2018-06-29 00:00:00";"14";"26";"64";"3,82800";"3,97482";"";""
"6014";"2018-04-02 00:00:00";"2018-06-29 00:00:00";"14";"26";"29";"3,52611";"3,66048";"";""
"6015";"2018-04-14 00:00:00";"2018-04-20 00:00:00";"15";"16";"21";"4,62840";"";"";""
"6016";"2018-04-14 00:00:00";"2018-04-20 00:00:00";"15";"16";"21";"4,62840";"";"";""
"6017";"2018-04-14 00:00:00";"2018-04-20 00:00:00";"15";"16";"21";"4,62840";"";"";""
"6018";"2018-04-14 00:00:00";"2018-04-20 00:00:00";"15";"16";"49";"4,62840";"";"";""
"6019";"2018-04-14 00:00:00";"2018-04-20 00:00:00";"15";"16";"49";"4,62840";"";"";""
"6020";"2018-04-14 00:00:00";"2018-04-20 00:00:00";"15";"16";"49";"4,62840";"";"";""
"6021";"2018-04-16 00:00:00";"2018-04-28 00:00:00";"16";"17";"26";"3,78450";"3,76929";"";""
"6023";"2018-04-16 00:00:00";"2018-04-21 00:00:00";"16";"16";"54";"3,69750";"3,67350";"";"HABITUAL"
"6025";"2018-04-16 00:00:00";"2018-04-21 00:00:00";"16";"16";"54";"3,69750";"3,67350";"";"HABITUAL"
"6027";"2018-04-23 00:00:00";"2018-04-28 00:00:00";"17";"17";"61";"3,48000";"3,44100";"";"HABITUAL"
"6029";"2018-04-23 00:00:00";"2018-04-28 00:00:00";"17";"17";"61";"3,48000";"3,44100";"";"HABITUAL"
"6031";"2018-04-20 00:00:00";"2018-04-25 00:00:00";"16";"17";"70";"4,69800";"4,62024";"500";""
"6033";"2018-04-23 00:00:00";"2018-05-08 00:00:00";"17";"19";"13";"3,93240";"4,20360";"";""
"6034";"2018-04-23 00:00:00";"2018-05-08 00:00:00";"17";"19";"13";"3,93240";"4,20360";"";""
"6035";"2018-04-23 00:00:00";"2018-05-08 00:00:00";"17";"19";"13";"3,93240";"4,20360";"";""
"6036";"2018-04-23 00:00:00";"2018-05-08 00:00:00";"17";"19";"13";"3,93240";"4,20360";"";""
"6037";"2018-04-23 00:00:00";"2018-05-08 00:00:00";"17";"19";"13";"3,93240";"4,20360";"";""
"6038";"2018-04-20 00:00:00";"2018-04-30 00:00:00";"16";"18";"54";"3,69750";"3,55260";"";""
"6039";"2018-04-20 00:00:00";"2018-04-30 00:00:00";"16";"18";"44";"3,61050";"3,46890";"";""
"6040";"2018-04-20 00:00:00";"2018-04-30 00:00:00";"16";"18";"54";"3,69750";"3,55260";"";""
"6041";"2018-04-20 00:00:00";"2018-04-30 00:00:00";"16";"18";"44";"3,61050";"3,46890";"";""
"6042";"2018-04-23 00:00:00";"2018-05-03 00:00:00";"17";"18";"73";"4,37610";"4,22406";"";""
"6043";"2018-04-23 00:00:00";"2018-05-03 00:00:00";"17";"18";"85";"4,63014";"4,49469";"";""
"6046";"2018-04-20 00:00:00";"2018-05-05 00:00:00";"16";"18";"82";"4,61100";"4,43610";"";""
"6047";"2018-04-20 00:00:00";"2018-05-05 00:00:00";"16";"18";"82";"4,61100";"4,43610";"";""
"6048";"2018-04-20 00:00:00";"2018-05-05 00:00:00";"16";"18";"82";"4,61100";"4,43610";"";""
"6056";"2018-04-30 00:00:00";"2018-05-14 00:00:00";"18";"20";"14";"3,54873";"3,79347";"";""
"6057";"2018-04-30 00:00:00";"2018-05-06 00:00:00";"18";"18";"43";"4,50834";"4,81926";"";""
"6058";"2018-04-30 00:00:00";"2018-05-14 00:00:00";"18";"20";"18";"4,50834";"4,81926";"";""
"6059";"2018-04-30 00:00:00";"2018-05-14 00:00:00";"18";"20";"19";"4,34826";"4,64814";"";""
"6060";"2018-05-03 00:00:00";"2018-05-03 00:00:00";"18";"18";"2";"4,30911";"4,60629";"16";""
"6062";"2018-04-26 00:00:00";"2018-04-27 00:00:00";"17";"17";"37";",00000";",00000";"";"MERCANCÍA S/C"
"6063";"2018-04-25 00:00:00";"2018-04-25 00:00:00";"17";"17";"10";"3,39300";"3,44565";"";"HABITUAL"
"6064";"2018-04-25 00:00:00";"2018-04-25 00:00:00";"17";"17";"10";"3,39300";"3,44565";"";"HABITUAL"
"6065";"2018-04-25 00:00:00";"2018-04-25 00:00:00";"17";"17";"10";"3,39300";"3,44565";"";"HABITUAL"
"6066";"2018-04-25 00:00:00";"2018-04-25 00:00:00";"17";"17";"10";"3,39300";"3,44565";"";"HABITUAL"
"6067";"2018-04-25 00:00:00";"2018-04-25 00:00:00";"17";"17";"10";"3,39300";"3,44565";"";"HABITUAL"
"6073";"2018-04-27 00:00:00";"2018-05-05 00:00:00";"17";"18";"62";"4,52400";"4,35240";"";"FOLLETO"
"6074";"2018-04-27 00:00:00";"2018-05-05 00:00:00";"17";"18";"62";"4,52400";"4,35240";"";"FOLLETO"
"6075";"2018-04-27 00:00:00";"2018-05-05 00:00:00";"17";"18";"62";"4,52400";"4,35240";"";"FOLLETO"
"6076";"2018-04-27 00:00:00";"2018-05-05 00:00:00";"17";"18";"62";"4,52400";"4,35240";"";"FOLLETO"
"6077";"2018-05-11 00:00:00";"2018-05-19 00:00:00";"19";"20";"12";"4,69800";"4,28730";"";"FOLLETO"
"6078";"2018-05-11 00:00:00";"2018-05-19 00:00:00";"19";"20";"12";"4,69800";"4,28730";"";"FOLLETO"
"6079";"2018-05-11 00:00:00";"2018-05-19 00:00:00";"19";"20";"12";"4,69800";"4,28730";"";"FOLLETO"
"6080";"2018-05-11 00:00:00";"2018-05-19 00:00:00";"19";"20";"12";"4,69800";"4,28730";"";"FOLLETO"
"6081";"2018-05-11 00:00:00";"2018-05-19 00:00:00";"19";"20";"31";"4,69800";"4,41750";"";"FOLLETO"
"6082";"2018-05-11 00:00:00";"2018-05-19 00:00:00";"19";"20";"31";"4,69800";"4,41750";"";"FOLLETO"
"6083";"2018-05-11 00:00:00";"2018-05-19 00:00:00";"19";"20";"31";"4,69800";"4,41750";"";"FOLLETO"
"6084";"2018-05-11 00:00:00";"2018-05-19 00:00:00";"19";"20";"31";"4,69800";"4,41750";"";"FOLLETO"
"6085";"2018-05-18 00:00:00";"2018-05-26 00:00:00";"20";"21";"55";"3,91500";"3,91530";"";"FOLLETO"
"6086";"2018-05-18 00:00:00";"2018-05-26 00:00:00";"20";"21";"55";"3,91500";"3,91530";"";"FOLLETO"
"6087";"2018-05-18 00:00:00";"2018-05-26 00:00:00";"20";"21";"55";"3,91500";"3,91530";"";"FOLLETO"
"6088";"2018-05-18 00:00:00";"2018-05-26 00:00:00";"20";"21";"55";"3,91500";"3,91530";"";"FOLLETO"
"6089";"2018-05-18 00:00:00";"2018-05-26 00:00:00";"20";"21";"42";"4,69800";"4,60350";"";"FOLLETO"
"6090";"2018-05-18 00:00:00";"2018-05-26 00:00:00";"20";"21";"42";"4,69800";"4,60350";"";"FOLLETO"
"6091";"2018-05-18 00:00:00";"2018-05-26 00:00:00";"20";"21";"42";"4,69800";"4,60350";"";"FOLLETO"
"6092";"2018-05-18 00:00:00";"2018-05-26 00:00:00";"20";"21";"42";"4,69800";"4,60350";"";"FOLLETO"
"6093";"2018-04-17 00:00:00";"2018-05-11 00:00:00";"16";"19";"44";"3,61050";"3,46890";"";"HABITUAL"
"6094";"2018-05-12 00:00:00";"2018-05-21 00:00:00";"19";"21";"38";"3,78450";"3,78603";"";"HABITUAL"
"6096";"2018-05-04 00:00:00";"2018-05-14 00:00:00";"18";"20";"20";"3,43650";"3,30150";"";""
"6098";"2018-05-03 00:00:00";"2018-05-13 00:00:00";"18";"19";"20";"3,43650";"3,30150";"";""
